País,Cliques,Impressões,CTR,Posição
Brasil,1,176,0.57%,19.37
Portugal,1,2,50%,9.5
Estados Unidos,0,8,0%,11.5
Filipinas,0,8,0%,36.5
Índia,0,7,0%,39.86
Cabo Verde,0,4,0%,11
Indonésia,0,3,0%,23
Bélgica,0,2,0%,9.5
México,0,2,0%,15.5
Equador,0,2,0%,20
Colômbia,0,2,0%,34
Coréia do Sul,0,2,0%,83.5
Albânia,0,1,0%,4
Singapura,0,1,0%,6
Itália,0,1,0%,8
Egito,0,1,0%,16
Guatemala,0,1,0%,27
Bangladesh,0,1,0%,33
Argentina,0,1,0%,38
Paquistão,0,1,0%,38
Grécia,0,1,0%,39
Vietnã,0,1,0%,53
Argélia,0,1,0%,65
